"Date","Open","High","Low","Close","Volume","Adj.Close","Symbol"
"2015-07-31",41.049999,41.139999,40.779999,40.950001,2243000,40.950001,"A"
"2015-07-30",40.259998,41.049999,40.07,40.970001,2440400,40.970001,"A"
"2015-07-29",40.5,40.73,40.240002,40.400002,2011200,40.400002,"A"
"2015-07-28",40,40.470001,39.5,40.450001,2765200,40.450001,"A"
"2015-07-27",39.040001,39.650002,38.610001,39.610001,5261300,39.610001,"A"
"2015-07-24",40.110001,40.169998,39.220001,39.310001,1844900,39.310001,"A"
"2015-07-23",40.369999,40.369999,40.009998,40.25,1708800,40.25,"A"
"2015-07-22",39.290001,40.419998,39.290001,40.330002,2948200,40.330002,"A"
"2015-07-21",39.970001,40.009998,39.540001,39.57,1150300,39.57,"A"
"2015-07-20",40.060001,40.130001,39.950001,40.060001,1155200,40.060001,"A"
"2015-07-17",40.200001,40.330002,39.84,39.950001,2412400,39.950001,"A"
"2015-07-16",40.360001,40.439999,40.119999,40.34,1826300,40.34,"A"
"2015-07-15",40.419998,40.52,40.02,40.130001,2247700,40.130001,"A"
"2015-07-14",40.049999,40.66,39.889999,40.490002,2800900,40.490002,"A"
"2015-07-13",39.720001,40,39.540001,39.959999,1579700,39.959999,"A"
"2015-07-10",39.290001,39.439999,39.16,39.400002,2107100,39.400002,"A"
"2015-07-09",39.27,39.330002,38.91,38.919998,2237900,38.919998,"A"
"2015-07-08",39.48,39.48,38.709999,38.75,3391000,38.75,"A"
"2015-07-07",39.529999,39.790001,39.139999,39.790001,2927800,39.790001,"A"
"2015-07-06",39.110001,39.66,39.080002,39.360001,2509400,39.360001,"A"
"2015-07-02",39.360001,39.639999,39.150002,39.580002,2156000,39.580002,"A"
"2015-07-01",38.889999,39.299999,38.75,39.259998,4486400,39.259998,"A"
"2015-07-31",10.09,10.14,9.86,9.87,18334500,9.839568,"AA"
"2015-07-30",10.19,10.25,9.88,9.98,19834700,9.949229,"AA"
"2015-07-29",9.92,10.22,9.89,10.16,31605600,10.128674,"AA"
"2015-07-28",9.75,9.93,9.61,9.87,27138600,9.839568,"AA"
"2015-07-27",9.71,9.99,9.59,9.62,27877700,9.590339,"AA"
"2015-07-24",9.91,9.91,9.65,9.81,27614400,9.779754,"AA"
"2015-07-23",10.09,10.19,9.9,9.96,21993800,9.929291,"AA"
"2015-07-22",10.16,10.16,9.96,9.99,40629000,9.959198,"AA"
"2015-07-21",10.2,10.44,10.16,10.23,24257300,10.198458,"AA"
"2015-07-20",10.45,10.47,10.18,10.2,22766800,10.168551,"AA"
"2015-07-17",10.49,10.55,10.36,10.49,16003600,10.457657,"AA"
"2015-07-16",10.65,10.65,10.43,10.51,16344600,10.477595,"AA"
"2015-07-15",10.77,10.79,10.52,10.57,19278600,10.53741,"AA"
"2015-07-14",10.77,10.86,10.65,10.77,17365100,10.736794,"AA"
"2015-07-13",10.77,10.84,10.69,10.82,19075700,10.786639,"AA"
"2015-07-10",10.77,10.87,10.61,10.63,23818300,10.597225,"AA"
"2015-07-09",10.74,10.97,10.57,10.59,40237700,10.557349,"AA"
"2015-07-08",10.95,11,10.39,10.5,45976600,10.467626,"AA"
"2015-07-07",10.96,11.11,10.58,11.06,31468600,11.0259,"AA"
"2015-07-06",10.95,11.13,10.92,11.03,18040300,10.995992,"AA"
"2015-07-02",11.09,11.23,11.04,11.1,14451000,11.065777,"AA"
"2015-07-01",11.2,11.23,10.94,11.07,28330900,11.035868,"AA"
"2015-07-31",40.529999,40.540001,39.880001,40.099998,6955900,40.006656,"AAL"
"2015-07-30",40.580002,40.93,39.919998,40.27,5855800,40.176262,"AAL"
"2015-07-29",41.09,41.330002,40.439999,40.73,6801400,40.635191,"AAL"
"2015-07-28",40.18,41.380001,40.18,41.169998,8186000,41.074165,"AAL"
"2015-07-27",39.630001,40.810001,38.900002,40.139999,12071400,40.046564,"AAL"
"2015-07-24",43,43.110001,39.619999,39.630001,20152600,39.537753,"AAL"
"2015-07-23",42.779999,43.810001,42,42.610001,16579900,42.510816,"AAL"
"2015-07-22",40.959999,41.610001,40.959999,41.43,8302900,41.333562,"AAL"
"2015-07-21",40.5,41.299999,40.490002,40.900002,7300000,40.804797,"AAL"
"2015-07-20",41.549999,41.709999,40.439999,40.549999,7645900,40.455609,"AAL"
"2015-07-17",41.450001,41.84,41.240002,41.400002,9736000,41.303633,"AAL"
"2015-07-16",41.810001,42.220001,41.299999,41.389999,12111300,41.293654,"AAL"
"2015-07-15",41.389999,42.220001,40.389999,41.540001,17922800,41.443307,"AAL"
"2015-07-14",42.040001,42.459999,41.290001,42.060001,12701500,41.962097,"AAL"
"2015-07-13",41.959999,42.720001,41.959999,42.419998,12077000,42.321255,"AAL"
"2015-07-10",40.509998,41.639999,40.5,41.209999,16451700,41.114073,"AAL"
"2015-07-09",39.84,40.279999,39.66,39.669998,8490900,39.577657,"AAL"
"2015-07-08",40.299999,40.310001,39.139999,39.310001,11193000,39.218498,"AAL"
"2015-07-07",39.93,40.740002,39.259998,40.669998,10375900,40.575329,"AAL"
"2015-07-06",39.09,40,39.080002,39.73,9157700,39.637518,"AAL"
"2015-07-02",39.02,39.810001,38.400002,39.029999,11080000,38.939147,"AAL"
"2015-07-01",40.650002,40.900002,37.799999,38.799999,24907100,38.709683,"AAL"
"2015-07-31",173.440002,175,172.059998,174.210007,632400,174.210007,"AAP"
